serial,pod,animal,plant,fan,mix_a,mix_b,mix_c,mix_d,humidity,temperature,voltage
60429,Pod_0,aardvark,apple,low,71,58,35,8,56,cold,3.4
56805,Pod_0,bat,turnip,coconut,56,0,21,7,36,cold,3.4
60962,Pod_0,beetle,banana,medium,7,94,5,1,29,hot,3.4
46081,Pod_0,cat,melon,high,36,1,24,2,57,cold,3.4
51431,Pod_0,dog,orange,medium,87,28,6,16,43,hot,3.4
7568,Pod_0,fly,fish,high,62,65,10,10,35,cold,3.4
83116,Pod_0,swan,peach,low,82,24,5,11,92,hot,3.4
34930,Pod_0,walrus,fish,coconut,97,47,10,19,86,cold,3.4
98546,pod_a,aardvark,peach,low,23,83,31,17,47,hot,3.4
3482,pod_a,aardvark,peach,high,74,15,26,12,68,cold,3.4
85876,pod_a,bat,melon,medium,71,18,38,4,62,cold,3.4
84765,pod_a,bat,melon,medium,52,37,37,13,45,hot,3.4
58211,pod_a,beetle,banana,coconut,76,89,0,17,36,hot,3.4
32396,pod_a,beetle,turnip,coconut,93,2,17,7,74,hot,3.4
64739,pod_a,beetle,turnip,medium,89,60,26,6,52,hot,3.4
49103,pod_a,beetle,melon,medium,16,24,22,18,28,hot,3.4
35212,pod_a,beetle,turnip,medium,38,22,22,12,62,hot,3.4
52798,pod_a,beetle,apple,low,45,45,6,12,51,hot,3.4
969,pod_a,beetle,peach,coconut,46,54,14,5,48,hot,3.4
72712,pod_a,beetle,peach,high,28,50,10,7,33,hot,3.4
89115,pod_a,beetle,turnip,medium,19,18,4,10,47,hot,3.4
38449,pod_a,beetle,melon,coconut,63,71,24,9,54,hot,3.4
49545,pod_a,beetle,peach,high,60,39,16,3,90,hot,3.4
67648,pod_a,beetle,apple,coconut,6,3,20,15,76,hot,3.4
94237,pod_a,beetle,melon,coconut,74,64,5,10,73,hot,3.4
55106,pod_a,beetle,banana,medium,73,96,34,4,57,hot,3.4
49313,pod_a,beetle,fish,high,57,20,4,6,49,hot,3.4
55202,pod_a,beetle,peach,high,32,33,4,9,53,hot,3.4
24281,pod_a,beetle,fish,coconut,91,70,36,0,57,hot,3.4
48198,pod_a,beetle,turnip,medium,28,3,11,5,62,hot,3.4
66954,pod_a,beetle,peach,low,96,48,5,15,36,hot,3.4
82014,pod_a,beetle,melon,medium,82,29,17,0,34,hot,3.4
70168,pod_a,beetle,apple,coconut,33,7,23,14,41,hot,3.4
77984,pod_a,beetle,melon,medium,19,18,40,4,52,hot,3.4
48621,pod_a,beetle,melon,medium,64,3,22,16,71,hot,3.4
59678,pod_a,beetle,apple,coconut,96,12,19,0,89,hot,3.4
91958,pod_a,beetle,melon,medium,40,33,41,2,63,hot,3.4
50969,pod_a,beetle,melon,medium,8,53,38,10,29,hot,3.4
85247,pod_a,beetle,banana,coconut,56,86,9,8,66,hot,3.4
40506,pod_a,beetle,peach,coconut,29,30,30,14,73,hot,3.4
70168,pod_a,beetle,melon,coconut,37,45,23,17,88,hot,3.4
94104,pod_a,beetle,fish,low,62,43,2,15,29,hot,3.4
99306,pod_a,beetle,turnip,coconut,32,45,36,1,57,hot,3.4
30772,pod_a,beetle,fish,high,98,47,28,11,84,hot,3.4
20467,pod_a,beetle,apple,coconut,63,23,29,10,58,hot,3.4
82566,pod_a,beetle,peach,coconut,3,19,18,6,66,hot,3.4
3717,pod_a,beetle,orange,high,61,46,25,10,67,hot,3.4
97729,pod_a,beetle,orange,low,57,28,20,3,91,hot,3.4
37919,pod_a,beetle,banana,medium,66,86,24,13,43,hot,3.4
51374,pod_a,beetle,banana,coconut,91,96,6,6,30,hot,3.4
64641,pod_a,beetle,fish,coconut,66,57,7,14,69,hot,3.4
34343,pod_a,beetle,melon,coconut,63,70,36,12,39,hot,3.4
37414,pod_a,beetle,apple,high,32,15,20,15,61,hot,3.4
95655,pod_a,beetle,melon,coconut,73,74,0,8,78,hot,3.4
84632,pod_a,beetle,banana,medium,46,82,16,8,27,hot,3.4
94327,pod_a,beetle,fish,coconut,21,77,39,13,74,hot,3.4
84040,pod_a,beetle,melon,coconut,95,21,22,12,83,hot,3.4
70135,pod_a,beetle,melon,coconut,45,53,18,13,76,hot,3.4
14609,pod_a,beetle,fish,low,71,11,39,5,49,hot,3.4
29960,pod_a,beetle,orange,low,74,82,23,4,66,hot,3.4
1762,pod_a,beetle,orange,high,99,57,27,16,94,hot,3.4
85281,pod_a,beetle,orange,coconut,82,2,36,1,67,hot,3.4
52556,pod_a,beetle,melon,medium,84,60,29,16,55,hot,3.4
13380,pod_a,beetle,apple,coconut,24,50,11,13,72,hot,3.4
6762,pod_a,beetle,turnip,coconut,31,44,21,11,55,hot,3.4
82934,pod_a,beetle,banana,medium,88,97,41,1,53,hot,3.4
16535,pod_a,beetle,orange,high,45,44,18,12,95,hot,3.4
19471,pod_a,beetle,melon,medium,75,72,0,0,35,hot,3.4
90519,pod_a,beetle,melon,coconut,80,81,11,17,62,cold,3.4
76238,pod_a,beetle,banana,medium,13,91,11,7,59,hot,3.4
56610,pod_a,beetle,peach,coconut,5,48,27,1,87,hot,3.4
84948,pod_a,beetle,fish,coconut,6,54,0,11,42,hot,3.4
72002,pod_a,beetle,melon,coconut,73,80,1,1,48,hot,3.4
33258,pod_a,beetle,melon,coconut,39,51,36,10,76,cold,3.4
34766,pod_a,beetle,melon,medium,81,71,38,4,35,hot,3.4
48535,pod_a,beetle,apple,coconut,57,49,26,4,52,hot,3.4
2462,pod_a,beetle,peach,low,44,46,12,10,58,hot,3.4
7343,pod_a,beetle,turnip,coconut,44,71,26,8,87,hot,3.4
94273,pod_a,beetle,orange,high,3,19,2,3,71,hot,3.4
88459,pod_a,beetle,orange,coconut,98,12,13,2,77,hot,3.4
98489,pod_a,cat,orange,low,81,65,42,0,77,cold,3.4
73139,pod_a,cat,orange,low,78,52,31,4,95,cold,3.4
23927,pod_a,dog,banana,coconut,63,88,36,7,86,cold,3.4
20343,pod_a,dog,apple,low,0,7,1,5,84,hot,3.4
14505,pod_a,fly,fish,low,62,5,9,12,70,cold,3.4
98701,pod_a,fly,fish,low,24,44,36,1,53,cold,3.4
27502,pod_a,swan,apple,high,69,82,15,18,90,cold,3.4
69541,pod_a,swan,apple,high,79,43,40,9,77,cold,3.4
65871,pod_a,walrus,orange,high,80,70,34,18,79,hot,3.4
77059,pod_a,walrus,turnip,coconut,62,51,16,18,84,hot,3.4
62849,pod_a,aardvark,turnip,coconut,76,62,20,7,87,hot,5.1
33738,pod_a,aardvark,peach,high,46,21,34,7,51,cold,5.1
26012,pod_a,bat,fish,high,64,46,14,13,33,hot,5.1
87702,pod_a,bat,melon,medium,71,61,9,10,88,cold,5.1
52503,pod_a,cat,orange,low,36,35,7,6,94,cold,5.1
15685,pod_a,cat,orange,high,92,59,39,15,94,hot,5.1
34619,pod_a,cat,banana,medium,24,95,36,10,87,cold,5.1
56251,pod_a,dog,banana,coconut,75,99,24,3,56,cold,5.1
98267,pod_a,dog,banana,coconut,19,96,30,4,71,cold,5.1
53008,pod_a,dog,banana,medium,2,91,12,1,47,hot,5.1
5210,pod_a,fly,melon,medium,88,60,27,1,28,hot,5.1
64556,pod_a,fly,fish,low,42,7,16,10,91,hot,5.1
97973,pod_a,ostrich,apple,low,98,82,40,16,50,hot,5.1
62308,pod_a,ostrich,banana,medium,99,85,44,12,50,hot,5.1
27551,pod_a,swan,apple,high,98,80,42,17,66,cold,5.1
24359,pod_a,swan,melon,coconut,93,50,23,16,34,hot,5.1
12760,pod_a,walrus,turnip,medium,88,18,5,20,85,cold,5.1
96293,pod_a,walrus,turnip,medium,63,58,35,19,90,cold,5.1
8567,pod_b,aardvark,fish,low,69,48,20,0,35,hot,3.4
80556,pod_b,aardvark,apple,low,24,55,5,4,85,hot,3.4
19045,pod_b,aardvark,orange,low,17,32,20,15,96,cold,3.4
79847,pod_b,aardvark,orange,low,82,70,12,12,65,hot,3.4
21725,pod_b,aardvark,orange,coconut,21,32,35,14,83,cold,3.4
17467,pod_b,aardvark,orange,low,36,3,26,0,72,hot,3.4
66484,pod_b,aardvark,orange,high,66,17,14,4,76,hot,3.4
59145,pod_b,bat,turnip,low,44,77,24,15,42,cold,3.4
32872,pod_b,bat,orange,high,80,22,35,14,72,cold,3.4
85767,pod_b,bat,orange,low,57,73,23,11,66,cold,3.4
18610,pod_b,bat,orange,low,11,42,2,6,71,cold,3.4
87730,pod_b,bat,orange,medium,21,30,4,9,78,hot,3.4
51879,pod_b,bat,orange,low,7,41,17,4,83,hot,3.4
8379,pod_b,beetle,apple,low,6,63,21,15,70,hot,3.4
53019,pod_b,beetle,turnip,low,37,29,14,3,58,hot,3.4
53793,pod_b,beetle,melon,low,68,74,18,9,40,hot,3.4
50110,pod_b,beetle,orange,low,73,46,38,10,66,hot,3.4
70209,pod_b,beetle,orange,low,31,26,42,8,71,hot,3.4
66635,pod_b,beetle,orange,coconut,3,60,1,0,78,hot,3.4
83954,pod_b,beetle,orange,low,31,16,13,2,90,hot,3.4
8032,pod_b,beetle,orange,low,22,47,13,14,91,hot,3.4
82145,pod_b,beetle,banana,low,0,94,21,2,62,hot,3.4
39745,pod_b,beetle,orange,coconut,56,27,3,11,78,hot,3.4
25330,pod_b,beetle,orange,low,74,44,1,3,61,hot,3.4
71270,pod_b,beetle,orange,low,84,30,26,12,68,hot,3.4
74128,pod_b,beetle,orange,low,75,36,32,0,67,hot,3.4
2132,pod_b,cat,peach,low,71,44,41,13,29,hot,3.4
10223,pod_b,cat,orange,coconut,2,55,21,17,90,hot,3.4
77413,pod_b,cat,orange,low,36,5,41,3,68,hot,3.4
48863,pod_b,cat,orange,low,24,11,13,10,61,cold,3.4
14576,pod_b,cat,orange,low,31,38,2,11,98,cold,3.4
75610,pod_b,cat,melon,low,50,50,35,16,90,hot,3.4
88983,pod_b,dog,orange,high,30,18,7,11,68,cold,3.4
18062,pod_b,dog,orange,coconut,55,46,39,11,95,hot,3.4
29888,pod_b,dog,orange,low,11,9,41,7,87,hot,3.4
93184,pod_b,dog,orange,low,2,63,13,7,74,cold,3.4
40570,pod_b,dog,fish,low,74,28,9,15,30,hot,3.4
32013,pod_b,dog,orange,low,61,80,13,12,62,cold,3.4
49744,pod_b,fly,banana,low,38,91,21,10,72,hot,3.4
72845,pod_b,fly,peach,low,77,43,38,1,30,hot,3.4
87605,pod_b,fly,orange,low,9,68,25,3,71,hot,3.4
85739,pod_b,fly,orange,low,39,54,35,11,86,cold,3.4
35009,pod_b,fly,orange,medium,20,16,22,3,86,cold,3.4
25067,pod_b,fly,orange,low,43,8,14,6,89,hot,3.4
16464,pod_b,fly,orange,low,4,76,11,10,79,cold,3.4
84918,pod_b,ostrich,melon,coconut,99,85,44,16,50,hot,3.4
17128,pod_b,swan,melon,low,73,28,39,3,60,cold,3.4
61003,pod_b,swan,orange,low,94,34,42,0,84,cold,3.4
57501,pod_b,swan,peach,low,92,38,35,3,32,hot,3.4
78692,pod_b,swan,orange,medium,95,30,37,7,93,cold,3.4
50855,pod_b,swan,orange,low,83,77,3,12,66,hot,3.4
84025,pod_b,swan,fish,low,97,63,32,13,58,hot,3.4
1277,pod_b,swan,orange,high,72,77,24,2,69,cold,3.4
70559,pod_b,walrus,melon,low,82,31,9,18,56,cold,3.4
15482,pod_b,walrus,orange,low,81,11,5,20,64,hot,3.4
15045,pod_b,walrus,orange,low,79,24,36,17,85,cold,3.4
22619,pod_b,walrus,orange,medium,76,4,23,17,73,hot,3.4
57082,pod_b,walrus,orange,low,88,1,35,17,95,hot,3.4
92690,pod_b,walrus,apple,low,41,0,22,20,63,hot,3.4
63380,pod_b,aardvark,banana,low,72,94,41,18,88,hot,5.1
69894,pod_b,aardvark,melon,low,50,9,0,5,68,cold,5.1
47324,pod_b,aardvark,orange,high,11,82,7,0,96,cold,5.1
96826,pod_b,aardvark,orange,low,87,47,27,14,80,hot,5.1
33587,pod_b,aardvark,orange,high,80,49,1,14,64,hot,5.1
20590,pod_b,aardvark,orange,low,76,29,18,11,65,cold,5.1
57170,pod_b,bat,melon,low,92,58,13,8,73,cold,5.1
54933,pod_b,bat,banana,low,43,82,23,7,66,hot,5.1
23811,pod_b,bat,peach,low,25,26,7,14,36,hot,5.1
6450,pod_b,bat,orange,medium,32,24,32,1,95,cold,5.1
85012,pod_b,bat,orange,low,17,68,14,6,67,hot,5.1
11380,pod_b,bat,orange,low,76,4,20,5,72,cold,5.1
29751,pod_b,bat,orange,high,68,64,30,9,85,hot,5.1
8844,pod_b,cat,melon,low,69,11,35,3,70,hot,5.1
14443,pod_b,cat,fish,low,5,15,2,13,65,cold,5.1
49828,pod_b,cat,orange,low,80,13,25,14,87,cold,5.1
42260,pod_b,cat,orange,low,0,63,17,18,75,hot,5.1
2078,pod_b,cat,orange,low,72,77,15,17,82,hot,5.1
84370,pod_b,cat,orange,low,67,7,39,7,61,cold,5.1
95412,pod_b,dog,melon,low,90,19,31,3,75,cold,5.1
10707,pod_b,dog,orange,high,61,45,5,18,67,hot,5.1
13703,pod_b,dog,orange,low,8,27,21,12,66,hot,5.1
81953,pod_b,dog,orange,low,83,42,41,13,91,hot,5.1
32610,pod_b,dog,orange,coconut,93,46,14,7,67,hot,5.1
29224,pod_b,dog,orange,low,72,27,38,0,71,cold,5.1
83761,pod_b,fly,apple,low,86,79,14,15,43,cold,5.1
52121,pod_b,fly,orange,low,25,41,16,17,77,hot,5.1
90187,pod_b,fly,orange,medium,21,32,18,17,72,hot,5.1
56265,pod_b,fly,orange,low,81,64,41,11,94,hot,5.1
34915,pod_b,fly,turnip,low,77,9,15,14,32,cold,5.1
51859,pod_b,fly,orange,low,72,43,32,11,82,cold,5.1
38307,pod_b,ostrich,fish,high,99,85,44,0,50,hot,5.1
79461,pod_b,swan,turnip,low,87,46,0,8,38,cold,5.1
83671,pod_b,swan,orange,coconut,96,33,11,12,72,cold,5.1
83847,pod_b,swan,orange,low,85,37,42,14,69,hot,5.1
51298,pod_b,swan,orange,coconut,82,2,14,2,98,cold,5.1
57660,pod_b,swan,orange,low,78,49,23,17,99,cold,5.1
92187,pod_b,swan,orange,medium,77,57,16,13,91,cold,5.1
94281,pod_b,walrus,melon,low,39,66,21,20,29,cold,5.1
18866,pod_b,walrus,orange,low,83,0,16,19,66,cold,5.1
89964,pod_b,walrus,orange,medium,22,63,38,18,74,cold,5.1
8847,pod_b,walrus,orange,medium,46,58,31,17,98,hot,5.1
57179,pod_b,walrus,orange,low,58,33,34,19,61,hot,5.1
42879,pod_b,walrus,fish,low,84,47,12,19,81,cold,5.1
55917,pod_b,walrus,orange,low,61,66,28,18,92,hot,5.1
6129,pod_c,bat,peach,low,4,22,27,7,85,hot,3.4
37822,pod_c,bat,apple,coconut,22,11,6,2,41,cold,3.4
52507,pod_c,bat,banana,high,91,96,41,18,56,cold,3.4
62602,pod_c,bat,peach,high,2,20,15,12,88,hot,3.4
79665,pod_c,bat,peach,low,73,42,16,6,43,hot,3.4
79739,pod_c,bat,peach,coconut,94,8,36,17,28,hot,3.4
61301,pod_c,bat,peach,low,57,36,4,13,53,hot,3.4
45875,pod_c,bat,peach,low,24,27,38,2,87,hot,3.4
64210,pod_c,bat,peach,low,36,36,33,14,67,hot,3.4
68351,pod_c,bat,fish,coconut,95,56,33,9,31,cold,3.4
33444,pod_c,bat,peach,coconut,52,52,19,5,59,hot,3.4
63034,pod_c,bat,peach,coconut,50,51,1,4,72,hot,3.4
59265,pod_c,bat,peach,low,97,21,10,10,64,hot,3.4
77274,pod_c,bat,peach,high,10,69,21,6,74,hot,3.4
77241,pod_c,bat,peach,low,85,45,41,1,50,hot,3.4
91634,pod_c,bat,peach,high,25,39,10,1,86,hot,3.4
75839,pod_c,bat,melon,low,92,78,7,15,60,cold,3.4
28315,pod_c,bat,peach,coconut,34,21,11,1,64,hot,3.4
73560,pod_c,bat,peach,coconut,31,40,23,6,38,hot,3.4
56133,pod_c,bat,apple,medium,80,48,21,17,41,cold,3.4
40177,pod_c,bat,peach,high,35,18,5,17,27,hot,3.4
45799,pod_c,bat,peach,coconut,55,38,4,17,68,hot,3.4
2628,pod_c,bat,peach,coconut,12,4,3,2,66,hot,3.4
48266,pod_c,bat,peach,low,95,28,42,2,69,hot,3.4
63385,pod_c,bat,peach,high,5,56,27,6,65,hot,3.4
65807,pod_c,bat,peach,high,99,46,23,5,64,hot,3.4
71857,pod_c,bat,peach,high,33,34,14,2,84,hot,3.4
84327,pod_c,bat,peach,coconut,62,46,9,7,37,hot,3.4
3461,pod_c,bat,peach,high,50,76,29,18,30,hot,3.4
22588,pod_c,bat,peach,low,43,3,31,7,45,hot,3.4
91218,pod_c,bat,peach,coconut,40,12,20,13,47,hot,3.4
6850,pod_c,bat,peach,high,32,59,28,15,71,hot,3.4
57170,pod_c,bat,peach,coconut,29,29,10,18,44,hot,3.4
98302,pod_c,bat,peach,high,92,9,34,9,88,cold,3.4
86646,pod_c,bat,fish,high,26,20,36,1,81,cold,3.4
72153,pod_c,bat,peach,high,11,38,42,8,87,hot,3.4
90874,pod_c,bat,peach,low,33,17,16,4,32,hot,3.4
95180,pod_c,bat,peach,high,96,82,8,18,89,hot,3.4
52179,pod_c,bat,peach,low,24,57,39,9,39,hot,3.4
33197,pod_c,bat,peach,coconut,59,23,32,12,70,hot,3.4
84698,pod_c,bat,peach,coconut,91,66,35,18,52,cold,3.4
16399,pod_c,bat,peach,low,12,46,18,3,74,hot,3.4
34593,pod_c,bat,orange,high,77,72,39,5,84,cold,3.4
78792,pod_c,beetle,peach,coconut,94,54,38,17,62,cold,3.4
82546,pod_c,beetle,orange,coconut,17,29,24,10,89,cold,3.4
17064,pod_c,cat,fish,low,47,31,34,0,33,cold,3.4
15533,pod_c,dog,banana,medium,26,95,31,1,55,cold,3.4
21726,pod_c,ostrich,peach,medium,99,85,44,18,50,hot,3.4
63813,pod_c,aardvark,peach,medium,99,16,8,1,84,cold,5.1
12076,pod_c,bat,melon,low,12,83,29,3,58,cold,5.1
29565,pod_c,bat,peach,coconut,65,39,15,14,38,hot,5.1
65909,pod_c,bat,peach,low,11,55,1,10,66,hot,5.1
65206,pod_c,bat,peach,low,1,54,33,16,33,hot,5.1
93795,pod_c,bat,peach,coconut,16,42,21,4,33,hot,5.1
66852,pod_c,bat,peach,low,77,83,28,2,27,hot,5.1
49771,pod_c,bat,peach,coconut,70,7,4,16,61,hot,5.1
42426,pod_c,bat,peach,high,78,80,30,1,67,hot,5.1
29113,pod_c,bat,peach,high,86,47,29,7,76,hot,5.1
38685,pod_c,bat,peach,low,55,32,7,11,90,hot,5.1
3052,pod_c,bat,peach,high,74,42,13,0,87,hot,5.1
67690,pod_c,bat,peach,high,58,59,26,15,55,cold,5.1
35580,pod_c,bat,melon,coconut,16,17,6,17,49,cold,5.1
18944,pod_c,bat,peach,coconut,76,51,11,5,77,hot,5.1
60497,pod_c,bat,apple,coconut,35,0,19,11,35,cold,5.1
5676,pod_c,bat,peach,low,26,72,35,11,72,hot,5.1
60168,pod_c,bat,peach,medium,35,17,32,0,49,cold,5.1
21548,pod_c,bat,peach,coconut,63,34,13,0,55,hot,5.1
99077,pod_c,bat,peach,low,5,70,19,17,39,hot,5.1
44107,pod_c,bat,turnip,medium,93,1,9,2,89,cold,5.1
95549,pod_c,bat,turnip,high,51,57,0,17,68,cold,5.1
