serial,pod,animal,plant,fan,mix_a,mix_b,mix_c,mix_d,humidity,temperature,voltage
252,pod_e,aardvark,melon,medium,8,53,1,10,52,hot,3.4
264,pod_b,cat,orange,low,35,20,21,18,66,hot,5.1
419,pod_d,dog,turnip,medium,48,74,23,2,76,cold,5.1
478,pod_e,aardvark,melon,medium,67,20,16,18,74,hot,5.1
504,pod_a,beetle,melon,coconut,60,66,14,15,89,hot,3.4
582,pod_b,swan,fish,low,91,2,35,7,30,hot,3.4
1033,pod_a,beetle,melon,medium,29,54,34,3,34,hot,3.4
1141,pod_d,cat,turnip,medium,31,24,32,1,59,cold,5.1
1236,pod_c,ostrich,orange,low,99,85,44,5,50,cold,5.1
1253,pod_a,beetle,melon,medium,44,5,31,0,74,hot,3.4
1271,pod_c,bat,melon,low,12,66,14,13,35,cold,5.1
1740,pod_b,beetle,apple,low,91,47,10,10,84,hot,3.4
1750,pod_c,bat,melon,low,98,3,16,11,27,cold,3.4
1860,pod_e,aardvark,melon,medium,84,0,35,17,50,cold,5.1
1890,pod_b,swan,orange,low,74,16,32,9,75,cold,5.1
2016,pod_d,swan,turnip,medium,71,28,19,8,33,cold,5.1
2579,pod_b,cat,orange,low,19,67,33,14,95,cold,5.1
2602,pod_c,bat,banana,high,86,84,26,12,62,cold,3.4
2633,pod_a,fly,fish,low,43,15,8,4,43,cold,3.4
2694,pod_a,beetle,melon,coconut,82,55,13,6,29,cold,3.4
2882,pod_c,bat,peach,high,64,12,36,7,70,hot,5.1
3070,pod_a,beetle,banana,coconut,8,80,34,17,36,hot,3.4
3274,pod_c,bat,peach,low,54,60,1,18,41,hot,3.4
3410,pod_c,bat,peach,high,36,56,21,7,55,hot,3.4
3601,pod_b,cat,peach,low,15,72,26,18,72,hot,3.4
4087,pod_b,bat,orange,high,98,35,22,2,91,cold,3.4
4240,pod_c,bat,peach,high,51,41,39,7,46,hot,3.4
4658,pod_e,aardvark,melon,medium,22,77,2,7,53,hot,5.1
5353,pod_d,bat,turnip,medium,78,37,12,11,61,cold,5.1
5354,pod_a,beetle,melon,coconut,76,77,4,12,61,hot,3.4
5488,pod_c,bat,peach,low,35,44,11,2,68,hot,5.1
5545,pod_d,aardvark,turnip,medium,39,44,3,11,72,cold,5.1
5801,pod_c,bat,fish,coconut,11,83,20,6,42,cold,3.4
5963,pod_c,bat,melon,coconut,65,80,29,6,38,cold,5.1
5976,pod_d,fly,turnip,medium,92,46,42,8,72,cold,5.1
6078,pod_a,cat,orange,low,55,15,8,5,61,cold,3.4
6088,pod_e,ostrich,fish,coconut,99,85,44,11,50,cold,3.4
6156,pod_c,bat,peach,high,91,67,5,17,36,hot,3.4
6330,pod_b,walrus,orange,medium,92,71,0,19,90,hot,5.1
6592,pod_a,beetle,apple,coconut,5,13,29,3,89,hot,3.4
6597,pod_d,cat,turnip,medium,17,39,41,2,66,cold,5.1
7294,pod_d,walrus,turnip,medium,73,10,40,19,25,cold,5.1
7384,pod_c,bat,apple,coconut,77,15,27,7,50,cold,5.1
7660,pod_d,swan,turnip,medium,77,57,20,11,48,cold,5.1
